Time(s),CH1V,CH2V
-7.460000e-04,3.015200e-01,4.400000e-04
-7.440000e-04,3.017533e-01,4.400000e-04
-7.420000e-04,3.011800e-01,5.600000e-04
-7.400000e-04,3.016400e-01,6.733334e-04
-7.380000e-04,3.019867e-01,5.600000e-04
-7.360000e-04,3.014067e-01,7.933333e-04
-7.340000e-04,3.019867e-01,2.133333e-04
-7.320000e-04,3.017533e-01,9.066667e-04
-7.300000e-04,3.010600e-01,6.733334e-04
-7.280000e-04,3.014067e-01,7.933333e-04
-7.260000e-04,3.010600e-01,7.933333e-04
-7.240000e-04,3.019867e-01,1.020000e-03
-7.220000e-04,3.011800e-01,6.733334e-04
-7.200000e-04,3.012933e-01,1.373333e-03
-7.180000e-04,3.012933e-01,2.133333e-04
-7.160000e-04,3.021000e-01,1.140000e-03
-7.140000e-04,3.006000e-01,1.140000e-03
-7.120000e-04,3.019867e-01,1.020000e-03
-7.100000e-04,3.017533e-01,7.933333e-04
-7.080000e-04,3.018667e-01,7.933333e-04
-7.060000e-04,3.014067e-01,9.066667e-04
-7.040000e-04,3.023333e-01,1.020000e-03
-7.020000e-04,3.016400e-01,5.600000e-04
-7.000000e-04,3.017533e-01,1.140000e-03
-6.980000e-04,3.010600e-01,4.400000e-04
-6.960000e-04,3.015200e-01,1.020000e-03
-6.940000e-04,3.009467e-01,4.400000e-04
-6.920000e-04,3.017533e-01,9.066667e-04
-6.900000e-04,3.009467e-01,5.600000e-04
-6.880000e-04,3.019867e-01,5.600000e-04
-6.860000e-04,3.011800e-01,5.600000e-04
-6.840000e-04,3.019867e-01,1.140000e-03
-6.820000e-04,3.018667e-01,5.600000e-04
-6.800000e-04,3.017533e-01,1.020000e-03
-6.780000e-04,3.009467e-01,7.933333e-04
-6.760000e-04,3.015200e-01,9.066667e-04
-6.740000e-04,3.008333e-01,1.020000e-03
-6.720000e-04,3.014067e-01,1.140000e-03
-6.700000e-04,3.009467e-01,7.933333e-04
-6.680000e-04,3.012933e-01,9.066667e-04
-6.660000e-04,3.011800e-01,3.266667e-04
-6.640000e-04,3.017533e-01,1.020000e-03
-6.620000e-04,3.016400e-01,3.266667e-04
-6.600000e-04,3.021000e-01,7.933333e-04
-6.580000e-04,3.016400e-01,1.140000e-03
-6.560000e-04,3.015200e-01,1.140000e-03
-6.540000e-04,3.010600e-01,5.600000e-04
-6.520000e-04,3.017533e-01,6.733334e-04
-6.500000e-04,3.010600e-01,6.733334e-04
-6.480000e-04,3.021000e-01,7.933333e-04
-6.460000e-04,3.009467e-01,6.733334e-04
-6.440000e-04,3.017533e-01,1.020000e-03
-6.420000e-04,3.009467e-01,4.400000e-04
-6.400000e-04,3.021000e-01,1.486667e-03
-6.380000e-04,3.010600e-01,7.933333e-04
-6.360000e-04,3.012933e-01,1.373333e-03
-6.340000e-04,3.004867e-01,4.400000e-04
-6.320000e-04,3.011800e-01,1.020000e-03
-6.300000e-04,3.007133e-01,9.066667e-04
-6.280000e-04,3.015200e-01,1.140000e-03
-6.260000e-04,3.004867e-01,5.600000e-04
-6.240000e-04,3.018667e-01,1.253333e-03
-6.220000e-04,3.014067e-01,4.400000e-04
-6.200000e-04,3.019867e-01,1.020000e-03
