Time(s),CH1V,CH2V,CH3V,CH4V
-8.480000e-04,3.010467e-01,9.066667e-04,1.400000e-04,2.000000e-05
-8.460000e-04,3.016267e-01,3.266667e-04,1.400000e-04,4.800000e-04
-8.440000e-04,3.016267e-01,6.733334e-04,-8.666667e-05,4.800000e-04
-8.420000e-04,3.018600e-01,4.400000e-04,2.600000e-04,-5.533333e-04
-8.400000e-04,3.015133e-01,1.140000e-03,-8.666667e-05,-9.333334e-05
-8.380000e-04,3.019733e-01,5.600000e-04,6.000000e-04,1.393333e-03
-8.360000e-04,3.011667e-01,6.733334e-04,2.666667e-05,4.800000e-04
-8.340000e-04,3.017400e-01,2.133333e-04,4.866667e-04,3.600000e-04
-8.320000e-04,3.015133e-01,1.020000e-03,2.600000e-04,2.000000e-05
-8.300000e-04,3.012800e-01,3.266667e-04,7.200000e-04,-3.266667e-04
-8.280000e-04,3.010467e-01,1.020000e-03,4.866667e-04,-2.133333e-04
-8.260000e-04,3.015133e-01,5.600000e-04,9.466666e-04,2.466667e-04
-8.240000e-04,3.011667e-01,5.600000e-04,1.060000e-03,2.466667e-04
-8.220000e-04,3.016267e-01,5.600000e-04,1.293333e-03,7.066667e-04
-8.200000e-04,3.016267e-01,6.733334e-04,6.000000e-04,-3.266667e-04
-8.180000e-04,3.015133e-01,4.400000e-04,1.400000e-04,-9.333334e-05
-8.160000e-04,3.011667e-01,1.140000e-03,8.333334e-04,1.333333e-04
-8.140000e-04,3.022067e-01,3.266667e-04,3.733333e-04,-4.400000e-04
-8.120000e-04,3.019733e-01,7.933333e-04,2.600000e-04,1.333333e-04
-8.100000e-04,3.016267e-01,6.733334e-04,8.333334e-04,1.280000e-03
-8.080000e-04,3.010467e-01,4.400000e-04,1.400000e-04,-3.266667e-04
-8.060000e-04,3.018600e-01,1.020000e-03,4.866667e-04,2.466667e-04
-8.040000e-04,3.008200e-01,7.933333e-04,2.666667e-05,8.200000e-04
-8.020000e-04,3.015133e-01,6.733334e-04,4.866667e-04,-9.333334e-05
-8.000000e-04,3.008200e-01,4.400000e-04,-8.666667e-05,3.600000e-04
-7.980000e-04,3.018600e-01,2.133333e-04,1.400000e-04,-5.533333e-04
-7.960000e-04,3.010467e-01,9.066667e-04,-8.933333e-04,-5.533333e-04
-7.940000e-04,3.017400e-01,5.600000e-04,8.333334e-04,3.600000e-04
-7.920000e-04,3.016267e-01,5.600000e-04,8.333334e-04,1.333333e-04
-7.900000e-04,3.012800e-01,4.400000e-04,2.666667e-05,2.000000e-05
-7.880000e-04,3.013933e-01,5.600000e-04,3.733333e-04,2.466667e-04
